,,,,,Full Description,Killed,Injured,threat_id,Community,Province,Count,Attack Type,Date of Attack
,,,,,"BBC reports severe censorship in Tel Aviv regarding these strikes.""
},{
  ""threat_id"": ""THRT-IRQ-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Explosions"",
  ""location"": {
    ""city"": ""Basra"",
    ""province"": ""Basra Governorate"",
    ""coordinates"": [30.5000, 47.8167]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-03T10:00:00Z"",
  ""details"": ""Heavy explosions reported in Basra Governorate, Iraq, hitting an American company site.""
},{
  ""threat_id"": ""THRT-IRQ-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Missile"",
  ""location"": {
    ""city"": ""Harir"",
    ""province"": ""Erbil Governorate"",
    ""coordinates"": [36.4267, 44.6067]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-03T11:00:00Z"",
  ""details"": ""Iranian missiles targeted the Al-Harir base in Erbil, Iraq, where US forces are stationed.""
},{
  ""threat_id"": ""THRT-LBN-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Guided Missile"",
  ""location"": {
    ""city"": ""Al-Khiyam"",
    ""province"": ""Nabatieh Governorate"",
    ""coordinates"": [33.3980, 35.5890]
  },
  ""severity"": ""Low"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-03-03T12:00:00Z"",
  ""details"": ""Enemy movements south of Al-Khiyam city were struck with a guided missile.""
},{
  ""threat_id"": ""THRT-IRQ-003"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone/Ballistic Missile"",
  ""location"": {
    ""city"": ""Sulaymaniyah"",
    ""province"": ""Sulaymaniyah Governorate"",
    ""coordinates"": [35.5500, 45.4167]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-03T13:00:00Z"",
  ""details"": ""Sulaymaniyah, Iraq, targeted by an Iranian drone or ballistic missile strike.""
},{
  ""threat_id"": ""THRT-CYP-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Akrotiri"",
    ""province"": ""Limassol District"",
    ""coordinates"": [34.5800, 32.9600]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-05T07:00:00Z"",
  ""details"": ""A drone strike on a British airbase in Cyprus renewed calls for an end to Britain’s military presence, with fears of being dragged into wider Iran conflict.""
},{
  ""threat_id"": ""THRT-IRN-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Airstrike"",
  ""location"": {
    ""city"": ""Tehran"",
    ""province"": ""Tehran"",
    ""coordinates"": [35.6892, 51.3890]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-06T20:00:00Z"",
  ""details"": ""Israel claims 50 warplanes struck a bunker beneath the Tehran compound of slain Supreme Leader Ayatollah Ali Khamenei on Friday.""
},{
  ""threat_id"": ""THRT-UAE-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Dubai"",
    ""province"": ""Dubai"",
    ""coordinates"": [25.0447, 55.4389]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-07T06:00:00Z"",
  ""details"": ""Iranian Army Navy Force launched a widespread drone attack targeting US base in Manhad Abu Dhabi, UAE.""
},{
  ""threat_id"": ""THRT-KWT-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Udairi"",
    ""province"": ""Jahra"",
    ""coordinates"": [29.7400, 47.3000]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-07T06:00:00Z"",
  ""details"": ""Iranian Army Navy Force launched a widespread drone attack targeting US base Camp Al-Adairy in Kuwait.""
},{
  ""threat_id"": ""THRT-ISR-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Sedot Micha"",
    ""province"": ""Central District"",
    ""coordinates"": [31.7500, 34.9833]
  },
  ""severity"": ""Moderate"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-07T06:00:00Z"",
  ""details"": ""Iranian Army Navy Force launched a widespread drone attack targeting strategic carbon-based radars at Sedot Micha facilities in occupied territories (Israel).""
},{
  ""threat_id"": ""THRT-IRN-003"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Airstrike"",
  ""location"": {
    ""city"": ""Isfahan"",
    ""province"": ""Isfahan"",
    ""coordinates"": [32.6546, 51.6680]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-04T08:00:00Z"",
  ""details"": ""US Air Force B-52 bombers conducted a strike against ballistic missile facilities and command-and-control infrastructure deep inside Iran (e.g., Isfahan), confirmed by US Central Command.""
}]",0,0,Unknown_ID,Basra,Iraq,1,Explosion,2026-03-03
,,,,,"[{
  ""threat_id"": ""THRT-ISR-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Airstrike"",
  ""location"": {
    ""city"": ""Tehran"",
    ""province"": ""Tehran"",
    ""coordinates"": [35.6892, 51.3890]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-07T00:00:00Z"",
  ""details"": ""Heavy bombardments by over 80 Israeli Air Force fighter jets, dropping approximately 230 munitions, targeted military sites including the main Islamic Revolutionary Guard Corps military university (Imam Hossein University), a missile unit storage site with bunkers and launching infrastructure, an underground ballistic missile storage and production facility, and Mehrabad Airport in western Tehran",0,0,Unknown_ID,Tehran,Iran,1,Missile,2026-03-07
,,,,,Additional launch sites in western and central Iran were also struck,0,0,Unknown_ID,Additional launch sites in western and central Iran were also struck,Iran,1,Unknown Type,Unknown Date
,,,,,"A civil activist reported 1500 death certificates issued by forensic medicine, indicating significant casualties from bombardments in Tehran.""
}, {
  ""threat_id"": ""THRT-IRN-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Direct Strike"",
  ""location"": {
    ""city"": ""Beit Shemesh"",
    ""province"": ""Jerusalem District"",
    ""coordinates"": [31.7583, 34.9961]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-02-28T00:00:00Z"",
  ""details"": ""Direct strike on a synagogue and a public bomb shelter in Beit Shemesh, Israel.""
}, {
  ""threat_id"": ""THRT-IRN-003"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Manama"",
    ""province"": ""Capital Governorate"",
    ""coordinates"": [26.2285, 50.5860]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-03-06T00:00:00Z"",
  ""details"": ""Drones struck civilian infrastructure and residential areas in Manama, Bahrain, with alert sirens activated.""
}, {
  ""threat_id"": ""THRT-IRN-004"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Strike"",
  ""location"": {
    ""city"": ""Dubai"",
    ""province"": ""Dubai"",
    ""coordinates"": [25.276987, 55.296249]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-03-06T00:00:00Z"",
  ""details"": ""Strikes impacted near Palm Jumeirah, Burj Al Arab, and Jebel Ali Port in Dubai, UAE.""
},
{
  ""threat_id"": ""THRT-IRN-005"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Kamikaze Drone"",
  ""location"": {
    ""city"": ""Nakhchivan"",
    ""province"": ""Nakhchivan Autonomous Republic"",
    ""coordinates"": [39.2016, 45.4578]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-02-28T00:00:00Z"",
  ""details"": ""A kamikaze drone, identified as an 'Arash-2', struck the terminal building of Nakhchivan International Airport, causing fire and structural damage.""
}, {
  ""threat_id"": ""THRT-IRN-006"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Baghdad"",
    ""province"": ""Baghdad Governorate"",
    ""coordinates"": [33.2625, 44.2250]
  },
  ""severity"": ""High"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-06T12:00:00Z"",
  ""details"": ""Successful drone attack on the US Victory base near Baghdad International Airport, resulting in thick fire and smoke.""
}, {
  ""threat_id"": ""THRT-IRN-007"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Missile"",
  ""location"": {
    ""city"": null,
    ""province"": null,
    ""coordinates"": null
  },
  ""severity"": ""High"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-03-07T06:00:00Z"",
  ""details"": ""Iran launched a new wave of missiles towards Israel in retaliation.""
}, {
  ""threat_id"": ""THRT-IRN-008"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Missile Salvo"",
  ""location"": {
    ""city"": ""Basra"",
    ""province"": ""Basra Governorate"",
    ""coordinates"": [30.5167, 47.8167]
  },
  ""severity"": ""High"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-03-07T12:00:00Z"",
  ""details"": ""A missile salvo was filmed launched from Basra, Iraq, towards monarchies of the Persian Gulf, where American bases are located.""
}, {
  ""threat_id"": ""THRT-UNS-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Drone"",
  ""location"": {
    ""city"": ""Akrotiri"",
    ""province"": ""Akrotiri (British Overseas Territory)"",
    ""coordinates"": [34.6050, 32.9900]
  },
  ""severity"": ""Medium"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-03T12:00:00Z"",
  ""details"": ""A drone strike on a British airbase in Cyprus renewed calls for an end to Britain’s military presence, with fears of being dragged into the wider Iran conflict.""
}, {
  ""threat_id"": ""THRT-ISR-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Pounding"",
  ""location"": {
    ""city"": ""Beirut"",
    ""province"": ""Beirut Governorate"",
    ""coordinates"": [33.8938, 35.5018]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-01T12:00:00Z"",
  ""details"": ""Israel pounded Beirut, ordering an unprecedented evacuation of the Lebanese capital’s southern suburbs, marking a major expansion of the war against Iran and the US.""
}, {
  ""threat_id"": ""THRT-ISR-003"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Airstrike"",
  ""location"": {
    ""city"": ""Tehran"",
    ""province"": ""Tehran"",
    ""coordinates"": [35.6892, 51.3890]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-02-28T00:00:00Z"",
  ""details"": ""About 50 Israeli warplanes struck a bunker beneath the Tehran compound of Supreme Leader Ayatollah Ali Khamenei, killing him at the start of the war.""
}, {
  ""threat_id"": ""THRT-IRN-009"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Combined Missile and Drone Operation"",
  ""location"": {
    ""city"": ""Tel Aviv"",
    ""province"": ""Tel Aviv District"",
    ""coordinates"": [32.0853, 34.7818]
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-01T12:00:00Z"",
  ""details"": ""Iran launched a combined missile and drone operation targeting sites in the heart of Tel Aviv.""
}, {
  ""threat_id"": ""THRT-USA-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Bomber"",
  ""location"": {
    ""city"": null,
    ""province"": null,
    ""coordinates"": null
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-03T08:00:00Z"",
  ""details"": ""US Air Force B-52 Stratofortress bombers conducted long-range strikes deep inside Iran, targeting ballistic missile facilities and command-and-control infrastructure.""
}, {
  ""threat_id"": ""THRT-USA-002"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Bomber"",
  ""location"": {
    ""city"": null,
    ""province"": null,
    ""coordinates"": null
  },
  ""severity"": ""Critical"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-01T23:00:00Z"",
  ""details"": ""US Air Force B-1B Lancer bombers conducted long-range strikes deep inside Iran, targeting ballistic missile facilities and command-and-control infrastructure.""
}, {
  ""threat_id"": ""THRT-HEZ-001"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Rocket and Drone Launch"",
  ""location"": {
    ""city"": null,
    ""province"": null,
    ""coordinates"": null
  },
  ""severity"": ""High"",
  ""confidence"": ""High"",
  ""timestamp"": ""2026-03-02T12:00:00Z"",
  ""details"": ""Hezbollah launched rockets and drones at Israel in retaliation for the death of Iran’s Supreme Leader Ali Khamenei, involving Lebanon in the ongoing conflict.""
}, {
  ""threat_id"": ""THRT-IRN-010"",
  ""category"": ""Geopolitical"",
  ""attack_type"": ""Strike"",
  ""location"": {
    ""city"": null,
    ""province"": null,
    ""coordinates"": null
  },
  ""severity"": ""Critical"",
  ""confidence"": ""Medium"",
  ""timestamp"": ""2026-03-06T12:00:00Z"",
  ""details"": ""Iran reportedly targeted almost every U.S",0,0,Unknown_ID,Manama,Bahrain,1,IED,2026-02-28
,,,,,"embassy in the Middle East.""
}]",0,0,Unknown_ID,"embassy in the Middle East.""
}]",Unknown Country,1,Unknown Type,Unknown Date
,,,,,"[{
    ""threat_id"": ""THRT-IRN-DRN-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""severity"": ""Unknown"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""2026-03-01T00:00:00Z"",
    ""details"": ""Verified OSINT report of Iranian drone strike on the oil tanker 'Prima' which had refused Iran's requests to cease operations in the Strait of Hormuz",0,0,Unknown_ID,"[{
    ""threat_id"": ""THRT-IRN-DRN-001""",Iran,1,IED,2026-03-01
,,,,,"Part of at least 9 such attacks on tankers since the Strait's closure.""
  },
  {
    ""threat_id"": ""THRT-ISR-AIR-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Air Strike"",
    ""location"": {
      ""city"": ""Tehran"",
      ""province"": ""Tehran""
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T00:00:00Z"",
    ""details"": ""Heavy Israeli air attacks on Tehran",0,0,Unknown_ID,Tehran,Iran,1,Unknown Type,2026-03-07
,,,,,"Fighter jets launched approximately 230 munitions, striking IRGC military centers, including Imam Hussein University, a missile storage unit, an underground ballistic missile production site, and a bunker beneath the compound of the supreme leader",0,0,Unknown_ID,Fighter jets launched approximately 230 munitions,Unknown Country,1,Missile,Unknown Date
,,,,,Explosions also reported at Mehrabad airport,0,0,Unknown_ID,Explosions also reported at Mehrabad airport,Unknown Country,1,Explosion,Unknown Date
,,,,,"Part of a new wave of attacks in Tehran and central Iran.""
  },
  {
    ""threat_id"": ""THRT-IRN-REG-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""General Attacks"",
    ""severity"": ""Unknown"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-02-28T00:00:00Z"",
    ""details"": ""Iran has carried out attacks on several Persian Gulf countries since the war began (approximately Feb 28, 2026), leading to an emergency Arab League meeting requested by Kuwait, Saudi Arabia, Qatar, Oman, Jordan, and Egypt.""
  },
  {
    ""threat_id"": ""THRT-IRN-MSL-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile Attack"",
    ""location"": {
      ""city"": ""Baghdad"",
      ""province"": ""Baghdad""
    },
    ""severity"": ""Unknown"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""2026-03-01T00:00:00Z"",
    ""details"": ""Iran launched its 24th missile attack as part of Operation 'The True Promise - 4', targeting the US Victoria Air Base near Baghdad airport.""
  },
  {
    ""threat_id"": ""THRT-IRN-MSL-002"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Ballistic Missile, UAV"",
    ""location"": {
      ""city"": ""Al-Kharj"",
      ""province"": ""Riyadh""
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T00:00:00Z"",
    ""details"": ""Saudi Arabian air defenses intercepted a ballistic missile launched at Prince Sultan Air Base and six UAVs in the Shaybah oil field area",0,0,Unknown_ID,Baghdad,Iraq,1,IED,2026-02-28
,,,,,Another UAV was shot down east of Riyadh,0,0,Unknown_ID,Riyadh,Saudi Arabia,1,Unknown Type,Unknown Date
,,,,,Saudi Defense Minister called on Iran to avoid 'miscalculations',0,0,Unknown_ID,Saudi Defense Minister called on Iran to avoid 'miscalculations',Iran,1,Unknown Type,Unknown Date
,,,,,"The Iranian military claimed a successful hypersonic ballistic missile strike on American terrorists at Prince Sultan Air Base for this event.""
  },
  {
    ""threat_id"": ""THRT-IRN-RAD-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Destruction of Radar System"",
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-05T00:00:00Z"",
    ""details"": ""Iran destroyed a major US radar system, valued at $300 million, vital for directing American missile defense in the Persian Gulf",0,0,Unknown_ID,"The Iranian military claimed a successful hypersonic ballistic missile strike on American terrorists at Prince Sultan Air Base for this event.""
  }",Iran,1,Missile,2026-03-05
,,,,,"Reported by Bloomberg and CNN.""
  },
  {
    ""threat_id"": ""THRT-UKN-DRN-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone Strike"",
    ""location"": {
      ""city"": ""Limassol"",
      ""province"": ""Limassol""
    },
    ""severity"": ""Serious"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T00:00:00Z"",
    ""details"": ""A drone strike occurred on a British airbase in Cyprus (Akrotiri/Dhekelia), renewing calls for an end to Britain’s military presence on the island due to fears of being drawn into the wider Iran conflict",0,0,Unknown_ID,"Reported by Bloomberg and CNN.""
  }",Iran,1,Drone,2026-03-03
,,,,,"Attacker implied to be Iran or its proxies.""
  },
  {
    ""threat_id"": ""THRT-ISR-AIR-002"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Bombardment"",
    ""location"": {
      ""city"": ""Beirut"",
      ""province"": ""Beirut""
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-06T00:00:00Z"",
    ""details"": ""Israel heavily pounded Beirut, specifically the capital’s southern suburbs, as a major expansion of the war against Iran and US",0,0,Unknown_ID,Beirut,Lebanon,1,IED,2026-03-06
,,,,,"This followed an unprecedented evacuation order.""
  },
  {
    ""threat_id"": ""THRT-IRN-MSL-003"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Combined Missile and Drone Operation"",
    ""location"": {
      ""city"": ""Tel Aviv"",
      ""province"": ""Tel Aviv District""
    },
    ""severity"": ""Unknown"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""2026-03-06T00:00:00Z"",
    ""details"": ""Iran launched a combined missile and drone operation targeting sites in the heart of Tel Aviv.""
  },
  {
    ""threat_id"": ""THRT-US-AIR-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Air Strike"",
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-02-28T00:00:00Z"",
    ""details"": ""US forces, utilizing B-1 Lancer and B-52 Stratofortress bombers, have hit over 2,000 targets across Iran as part of Operation Epic Fury since Feb 28",0,0,Unknown_ID,Tel aviv,Israel,1,Drone,2026-03-06
,,,,,"Targets included ballistic missile facilities, command-and-control infrastructure, and over 20 Iranian naval vessels, leading to the establishment of local air superiority",0,0,Unknown_ID,Targets included ballistic missile facilities,Unknown Country,1,Missile,Unknown Date
,,,,,"Reported by US Central Command.""
  },
  {
    ""threat_id"": ""THRT-ISR-GRN-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Infantry Infiltration & Airstrikes"",
    ""location"": {
      ""city"": ""Nabi Sheeth"",
      ""province"": ""Baalbek-Hermel""
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-06T11:30:00Z"",
    ""details"": ""Four Israeli helicopters infiltrated from Syria, landing infantry near Yahfoufa, Al-Khraybeh, and Ma'raboun",0,0,Unknown_ID,"Reported by US Central Command.""
  }",Syria,1,Airstrike,2026-03-06
,,,,,Troops clashed with Islamic Resistance fighters in Nabi Sheeth's Al-Shokr family neighborhood around 11:30,0,0,Unknown_ID,Troops clashed with Islamic Resistance fighters in Nabi Sheeth's Al-Shokr family neighborhood around 11:30,Unknown Country,1,Unknown Type,Unknown Date
,,,,,"Following exposure, Israeli forces launched approximately 40 airstrikes with fighter jets and helicopters to cover their withdrawal",0,0,Unknown_ID,Following exposure,Unknown Country,1,Airstrike,Unknown Date
,,,,,"Reported by Hezbollah.""
  }]",0,0,Unknown_ID,"Reported by Hezbollah.""
  }]",Unknown Country,1,Unknown Type,Unknown Date
,,,,,"[{
    ""threat_id"": ""THRT-IRN-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": null,
      ""province"": null,
      ""coordinates"": [26.2500, 56.5000]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T08:00:00Z"",
    ""details"": ""IRGC reported oil tanker 'Prima' hit by a destructive drone in Strait of Hormuz after disregarding repeated warnings.""
  },
  {
    ""threat_id"": ""THRT-IRN-002"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Fighter Jet, Bombardment"",
    ""location"": {
      ""city"": ""Tehran"",
      ""province"": ""Tehran"",
      ""coordinates"": [35.6892, 51.3890]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T10:00:00Z"",
    ""details"": ""Heavy bombardments by 80 Israeli fighter jets on military sites, missile launch platforms, and other targets in Tehran and central Iran on Saturday (March 7), including Mehrabad Airport, Imam Hossein University (IRGC military university), a bunker beneath Ayatollah Ali Khamenei's compound, and missile sites",0,0,Unknown_ID,Tehran,Iran,1,Drone,2026-03-07
,,,,,US jets also struck missile sites,0,0,Unknown_ID,US jets also struck missile sites,Unknown Country,1,Missile,Unknown Date
,,,,,"This was part of a major operation and followed a previous night of heavy bombardments.""
  },
  {
    ""threat_id"": ""THRT-IRN-003"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile"",
    ""location"": {
      ""city"": ""Divandarreh"",
      ""province"": ""Kordestan"",
      ""coordinates"": [35.9080, 47.0197]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T10:20:00Z"",
    ""details"": ""Main IRGC base and several intelligence centers in Divandarreh city targeted by missile, causing severe explosions.""
  },
  {
    ""threat_id"": ""THRT-UAE-001b"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": ""Dubai"",
      ""province"": ""Dubai"",
      ""coordinates"": [25.2532, 55.3657]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Drone strike in the vicinity of Dubai International Airport, leading to flight suspensions just after it reopened.""
  },
  {
    ""threat_id"": ""THRT-IRN-004"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Explosion"",
    ""location"": {
      ""city"": ""Ahvaz"",
      ""province"": ""Khuzestan"",
      ""coordinates"": [31.3175, 48.6702]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Explosion reported in Artillery Square Division area of Ahvaz.""
  },
  {
    ""threat_id"": ""THRT-IRN-005"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Explosions"",
    ""location"": {
      ""city"": ""Kish Island"",
      ""province"": ""Hormozgan"",
      ""coordinates"": [26.5414, 53.9877]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Several successive massive explosions reported on Kish Island.""
  },
  {
    ""threat_id"": ""THRT-IRN-006"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Unspecified Attack"",
    ""location"": {
      ""city"": ""Bandar Abbas"",
      ""province"": ""Hormozgan"",
      ""coordinates"": [27.1822, 56.2801]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T07:00:00Z"",
    ""details"": ""Attack reported on First Naval Aviation Base in Bandar Abbas on Saturday morning.""
  },
  {
    ""threat_id"": ""THRT-SAU-001a"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": null,
      ""province"": null,
      ""coordinates"": [23.4739, 53.9489]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Saudi Ministry of Defense reported 20 Iranian drones targeting Shaybah oil field were intercepted and destroyed in Rub' al Khali region.""
  },
  {
    ""threat_id"": ""THRT-IRQ-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Unspecified Attack"",
    ""location"": {
      ""city"": ""Baghdad"",
      ""province"": ""Baghdad"",
      ""coordinates"": [33.2625, 44.2349]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Iranian forces attacked US Victory Base near Baghdad International Airport, Iraq.""
  },
  {
    ""threat_id"": ""THRT-SAU-002"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Ballistic Missile"",
    ""location"": {
      ""city"": ""Al-Kharj"",
      ""province"": ""Riyadh Province"",
      ""coordinates"": [24.0620, 47.6606]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Saudi air defense intercepted a ballistic missile targeting Prince Sultan Air Base.""
  },
  {
    ""threat_id"": ""THRT-SAU-001b"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": null,
      ""province"": null,
      ""coordinates"": [23.4739, 53.9489]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T12:00:00Z"",
    ""details"": ""Saudi air defense shot down 6 drones near Shaybah oil field.""
  },
  {
    ""threat_id"": ""THRT-JOR-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": ""Azraq"",
      ""province"": ""Zarqa Governorate"",
      ""coordinates"": [31.8667, 36.7833]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-04T12:00:00Z"",
    ""details"": ""US AN/TPY-2 THAAD missile system radar damaged at Muwaffaq Salti Air Base, Jordan, following an Iranian drone attack earlier this week.""
  },
  {
    ""threat_id"": ""THRT-IRN-007"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Fighter Jet, Bombardment"",
    ""location"": {
      ""city"": ""Urmia"",
      ""province"": ""West Azerbaijan"",
      ""coordinates"": [37.5500, 45.0750]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-07T06:00:00Z"",
    ""details"": ""Video report of a fighter jet bombing several Basij bases in Urmia city on Saturday morning.""
  },
  {
    ""threat_id"": ""THRT-UAE-001a"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": ""Dubai"",
      ""province"": ""Dubai"",
      ""coordinates"": [25.2532, 55.3657]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-02-28T12:00:00Z"",
    ""details"": ""Iranian drone reportedly struck Dubai International Airport as part of missile and drone launches towards Gulf countries on Feb",0,0,Unknown_ID,Baghdad,Iraq,1,Explosion,2026-03-07
